Query,RunNumber,ExecutionTime_ms,Configuration,IndexStrategy,DataSetSize
query_3,20,20.125,High Memory,composite_indexes,Medium
query_3,21,19.372,High Memory,composite_indexes,Medium
query_3,22,20.385,High Memory,composite_indexes,Medium
query_3,23,19.705,High Memory,composite_indexes,Medium
query_3,24,19.705,High Memory,composite_indexes,Medium
query_3,25,19.715,High Memory,composite_indexes,Medium
query_3,26,20.773,High Memory,composite_indexes,Medium
query_3,27,19.464,High Memory,composite_indexes,Medium
query_3,28,19.695,High Memory,composite_indexes,Medium
query_3,29,19.738,High Memory,composite_indexes,Medium
query_3,30,19.602,High Memory,composite_indexes,Medium
query_4,1,33.509,High Memory,composite_indexes,Medium
query_4,2,34.695,High Memory,composite_indexes,Medium
query_4,3,33.721,High Memory,composite_indexes,Medium
query_4,4,33.795,High Memory,composite_indexes,Medium
query_4,5,33.94,High Memory,composite_indexes,Medium
query_4,6,34.718,High Memory,composite_indexes,Medium
query_4,7,34.3,High Memory,composite_indexes,Medium
query_4,8,34.343,High Memory,composite_indexes,Medium
query_4,9,34.138,High Memory,composite_indexes,Medium
query_4,10,34.012,High Memory,composite_indexes,Medium
query_4,11,33.898,High Memory,composite_indexes,Medium
query_4,12,33.602,High Memory,composite_indexes,Medium
query_4,13,33.765,High Memory,composite_indexes,Medium
